Nome,Endereço,Latitude,Longitude
Only Boss Store,"Fachada está escrito ""Charme e Capricho - R. Arquiteto Nilson Edson dos Santos, 850 - São Vicente, Itajaí",-26.9049239,-48.6972149
Morena bonita store,"R. Arquiteto Nilson Edson dos Santos, 268 - São Vicente, Itajaí",-26.9051909,-48.6914251
SVAM Store,"Av. Nilo Bittencourt, 490 - São Vicente, Itajaí",-26.9126671,-48.7051639
JUMP STORE ITAJAÍ,"R. Estefano José Vanolli, 590 - Sala 1 - São Vicente, Itajaí",-26.8992371,-48.6888673
Camp Life Store,"R. Jaziel José Rosa, 97 - São Vicente, Itajaí",-26.9109222,-48.7027796
Unidade básica de saúde,"R. Manoel José dos Santos, 434 - São Vicente, Itajaí",-26.9025038,-48.6965593
Hospital da bicicleta,"R. Arnoldo Corrêa de Melo, 572 - Cidade Nova, Itajaí",-26.9199659,-48.6932977
UPA 24h CIS - São Vicente,"Av. Gov. Adolfo Konder, 250 - Cidade Nova, Itajaí",-26.9105433,-48.6864292
Street Burger,"R. Agílio Cunha - Cidade Nova, Itajaí",-26.9252027,-48.6942088
Paradise Motel,"Av. Ver. Abrahão João Francisco, 8974 - Ressacada, Itajaí",-26.9363573,-48.6966466
Sindicato Nacional dos Aposentados e Pensionistas,"R. José Siqueira, 90 - Dom Bosco, Itajaí",-26.9225097,-48.6774162
Viacredi,"Av. Ver. Abrahão João Francisco, 2957 - Ressacada, Itajaí",-26.9236109,-48.67606869999999
Mercado Ressacada,"R. José Siqueira, 335 - Ressacada, Itajaí",-26.9245331,-48.6766262
Super Ofer,"Rua Jacó Moleri - Centro, Itajaí",-26.9063088,-48.6642725
Supermercado Amorim I,"R. Pedro Cristiano de Miranda, 955 - São Vicente, Itajaí",-26.9063014,-48.694707
Mercearia Jô,"R. Pedro José João, 175 - Ressacada, Itajaí",-26.9173531,-48.6694699
Mercearia Deia.,"R. Gustavo Manoel dos Santos, 183 - Ressacada, Itajaí",-26.9174595,-48.6684667
Comper,"200, Av. Sete de Setembro, 300 - Centro, Itajaí",-26.9087633,-48.6585772
Supermercado Lochill - Dom Bosco,"R. Indaial, 530 - Dom Bosco, Itajaí",-26.9166342,-48.677078
Mercado Chico,"R. Uruguai, 849 - Centro, Itajaí",-26.9168199,-48.6584243
Mercearia do Bem,"Rua Miguel Kunifas, 308 - Dom Bosco, Itajaí",-26.919556,-48.6752268
Compre Bem,rua criciuma,-26.9076752,-48.6677656
Supermarket Buy Well,"R. Otávio Cesário Pereira, 887 - São Vicente, Itajaí",-26.9051882,-48.6904997
Valdemir dias,"rua Francisco José Reis, 1496 - Santa Regina, Itajaí",-26.9105602,-48.6709276
Brava Atacarejo,"R. José Siqueira, 327 - Dom Bosco, Itajaí",-26.9243989,-48.6766528
Mercearia- Açougue Raul,"R. Lauro Muller, 50 - Centro, Itajaí",-26.9054993,-48.6556738
Armazém Rei do Preço Itajaí,"R. Pedro Cristiano de Miranda, 888 - São Vicente, Itajaí",-26.9055972,-48.6949233
Camaleão Store,"R. Laudelina Dionísio, 662 - Cordeiros, Itajaí",-26.8904776,-48.6957555
Md Store,"Itajai - Navegantes - Barra do Rio, Itajaí",-26.8874212,-48.6800709
DUELI STORE,"R. Indaial, 443 - Dom Bosco, Itajaí",-26.9174478,-48.677394
Catharina Store,"R. Rio do Sul, 227 - São Judas, Itajaí",-26.9117858,-48.6770565
FRITZ STORE,"R. Aurora Tabalipa, 230 - São João, Itajaí",-26.9017611,-48.6794124
WeShop Store,"R. Pedro Pereira Mafra, 147 - Ressacada, Itajaí",-26.9247439,-48.6759834
Regi store,"R. São Joaquim, 240 - São Vicente, Itajaí",-26.8977138,-48.6866406
Rope Store,"R. Enedina d'Ávila Ferreira, 924 - Cordeiros, Itajaí",-26.8957655,-48.7064651
D' Couto Store,"R. Nossa Sra. de Fátima, 21 - Cordeiros, Itajaí",-26.8872422,-48.6987555
New One Store Br,"Bairro São João - R. Juca Cesário, 140 - Sala 15 - São João, Itajaí",-26.8979241,-48.6780014
Hank's Original Burger - Lanchonete e Delivery,"R. Indaial, 194 - sala 3 - Dom Bosco, Itajaí",-26.9197222,-48.6772222
Best Burger & Co. Itajaí,"R. José Testoni, 01 - Dom Bosco, Itajaí",-26.918789,-48.6705009
Mineiros Lanches,"Londres - Condomínio Parque Europeu, Rua Alvaro Beraldi, 460 - Apto 305 - Canhanduba, Itajaí",-26.9394909,-48.6908809
Hot Dog do Guí Prensadão,"R. da Rua Raul Machado, 920 - Cidade Nova, Itajaí",-26.9258128,-48.6915546
Delícias da Déia,"R. Oscár Praun Rodrigues - Fazenda, Itajaí",-26.9185101,-48.6577126
Itajaí Express,"R. Felipe Schmidt, 198 - Centro, Itajaí",-26.9060043,-48.6574446
ibis budget Navegantes Itajai,"Av. Ver. Abrahão João Francisco, 587 - Centro, Itajaí",-26.913946,-48.658536
Hotel Itajaí Tur,"R. Alberto Werner, 133 - São João, Itajaí",-26.9049876,-48.6688756
Hotel Marjaí,"Av. Sete de Setembro, 1473 - Fazenda, Itajaí",-26.9186463,-48.6541226
Hotel 7 Itajaí,"Av. Sete de Setembro, 776 - Fazenda, Itajaí",-26.9131194,-48.65671589999999
Hotel Graju,"Av. Sete de Setembro, 1181 - Centro, Itajaí",-26.9165423,-48.6550395
Hotel Valerim Itajaí / Navegantes,"R. Dr. Pedro Ferreira, 3 - Centro, Itajaí",-26.9046835,-48.6560844
Novotel Itajai,"R. Lauro Muller, 170 - Centro, Itajaí",-26.9066245,-48.65564850000001
Hotel Vitória,"R. Brusque, 947 - Centro, Itajaí",-26.9153854,-48.6689685
Sandri Palace Hotel - Itajaí,"Av. Sete de Setembro, 1675 - Fazenda, Itajaí",-26.9205053,-48.65331949999999
Mercure Itajaí Navegantes,"R. Dr. Pedro Ferreira, 363 - Centro, Itajaí",-26.9028257,-48.658991
Hotel Rota do Mar,"R. Lauro Muller, 97 - Centro, Itajaí",-26.9059254,-48.6552663
Hotel Panorama Itajaí,"Av. Osvaldo Reis, 1750 - Fazenda, Itajaí",-26.9369754,-48.64187829999999
Casa Amarela Pousada Hostel,"R. Cap. Adolfo Germano de Andrade, 271 - Centro, Itajaí",-26.9048253,-48.6672348
ibis Navegantes Itajai,"R. Vereador Abrahao J F, Av. Ver. Abrahão João Francisco, 587, Itajaí",-26.9138349,-48.65865840000001
Pousada Cirandinha,"R. Gregório Chaves, 65 - Fazenda, Itajaí",-26.9206869,-48.6546587
Casa Arrô,"R. Eng. João da Rocha Melo, 147 - Cabeçudas, Itajaí",-26.931328,-48.6350309
Rebello's Guest House,"R. João Ladislau Tabalipa, 104 - São João, Itajaí",-26.8990728,-48.6720042
Hotel sandri,"R. Antônio Manoel Moreira, 175 - Fazenda, Itajaí",-26.9205245,-48.6522218
Bradesco,"R. Brusque, 358 - Loja 5 B - Centro, Itajaí",-26.9106875,-48.6662592
MCF Serviços de Crédito,"R. Dr. José Bonifácio Malburg, 204 - Centro, Itajaí",-26.904442,-48.6586664
Banco Itaú - Agência 0292,"Rua Gil Stein Ferreira, 145 - Centro, Itajaí",-26.9071619,-48.6588929
HSBC Bank Brasil S.A. - Banco Múltiplo (Posto Universitario),"R. Modesto Fernandes Viêira, 1 - Dom Bosco, Itajaí",-26.918815,-48.66993979999999
Banco Bradesco - Agência 0330,"R. Hercílio Luz, 335 - Centro, Itajaí",-26.9057648,-48.65787479999999
Banco24Horas,"Av. Ver. Abrahão João Francisco, 84 - Centro, Itajaí",-26.9145361,-48.6627269
Caixa Itajaí,"Avenida Joca Brandão, Número:, 0416 - 2 - Volta de Cima, Itajaí",-26.9125607,-48.6604216
Banco Santander - Agências 0049 e 1910,"R. Uruguai, 458 - Centro, Itajaí",-26.9184586,-48.6670184
Agibank,"R. Hercílio Luz, 228 - Centro, Itajaí",-26.9053857,-48.65691349999999
Caixa Econômica Federal,"R. Brusque, 89 - Centro, Itajaí",-26.9088618,-48.6633795
BANCO DO BRASIL - ITAJAI - Agência 305,"R. Felipe Schmidt, 454 - Centro, Itajaí",-26.9040921,-48.658221
Pratic Fomento Empresarial,"Condomínio Edifício Executive Center - Rua Gil Stein Ferreira, 357 - Centro, Itajaí",-26.9078342,-48.6606655
Federal Savings Bank,"Av. Joca Brandão, 443 - Centro, Itajaí",-26.9120237,-48.6579687
Banco Santander - Agência 1242 - Hercílio Luz Itajaí,"R. Hercílio Luz, 498 - Centro, Itajaí",-26.9059694,-48.6594365
FIESC - Vice Presidência Foz do Rio Itajaí,"R. José Ferreira da Silva, 43 - Centro, Itajaí",-26.9045112,-48.6613838
Banco Santander - Agência 4620 Xv Novembro Itajai,"Rua XV de Novembro, 70 - Centro, Itajaí",-26.9060101,-48.65664570000001
Êxito Correspondente Caixa,"R. Lauro Muller, 709 - Fazenda, Itajaí",-26.9113054,-48.65443339999999
Mercearia Vitoria,"R. Abraão Bernardino Rocha, 320 - Fazenda, Itajaí",-26.926991,-48.6507699
Supermercados Bistek,"Av. Sete de Setembro, 1330 - Fazenda, Itajaí",-26.9187076,-48.65455799999999
Giassi Supermercados - Itajaí,"Av. Osvaldo Reis, 839 - Fazenda, Itajaí",-26.929243,-48.6444587
Mercearia Neumann,"R. Gumercindo Rocha, 184 - Fazenda, Itajaí",-26.9231206,-48.6488396
Mercato Sadia - Itajaí,"R. Jorge Tzachel, 250 - Fazenda, Itajaí",-26.9188124,-48.6518031
Zooey Store,"R. Felipe Schmidt, 314 - Centro, Itajaí",-26.9051956,-48.6578047
Dona Arcanjo Store,"R. Olímpio Miranda Júnior, 168 - Centro, Itajaí",-26.9063002,-48.6560272
store itajaí,"R. Lauro Muller, 201 - Fazenda, Itajaí",-26.906878,-48.655198
Conveniência Am/Pm,"Av. Cel. Marcos Konder, 217 - Centro, Itajaí",-26.9038967,-48.6631867
Hostin Store,"R. Lúcio Corrêa de Mendonça, 180 - Fazenda, Itajaí",-26.9250059,-48.65256189999999
Zion Store Centro,"R. Hercílio Luz, 598 - Centro, Itajaí",-26.9063425,-48.6604488
Vanessa Conveniências,"R. Brusque, 1010 - Centro, Itajaí",-26.9156906,-48.6695254
Martillucci Store,"Rua João Bauer, 498 - Centro, Itajaí",-26.911858,-48.660155
iPet Store Pet Shop,"R. Brusque, 358 - Centro, Itajaí",-26.9103953,-48.6668431
Laviér Store - Perfumes Importados e Nacionais,"R. Hercílio Luz, 201 - sala 03 - Centro, Itajaí",-26.9053985,-48.6564396
Infostore Informática,"R. Alm. Barroso, 229 - Centro, Itajaí",-26.9072456,-48.6651153
Annabella Store,"R. Manoel Viêira Garção, 112 - Centro, Itajaí",-26.9047111,-48.6571801
Allure Store,"Sodegaura Center - R. Olímpio Miranda Júnior, 15 - Centro, Itajaí",-26.9062785,-48.6547759
Viva Bem Store,"Edifício Torre Azul - Rua Gil Stein Ferreira, 100 - loja 1 e 3 - Centro, Itajaí",-26.9068455,-48.6584689
"Loja do 2,00 R$","Centro, Itajaí",-26.9055406,-48.6595978
One Store Marisol Itajaí,"R:Samuel Heusi, 234 - SalaT32 -(3045.1178 - Centro, Itajaí",-26.9036158,-48.6603901
Pedalli Bike Store,"R. Felix Busso Asseburg, 84 - Centro, Itajaí",-26.9070362,-48.6545936
Hospital e Maternidade Marieta Konder Bornhausen,"Av. Cel. Marcos Konder, 1111 - Centro, Itajaí",-26.9105679,-48.65961069999999
MA Hospitalar,"R. Alberto Werner, 191 - Vila Operaria, Itajaí",-26.9064687,-48.6689576
Incor Marieta,"R. Aderbal Ramos da Silva, 14 - Centro, Itajaí",-26.9100969,-48.6595317
Hospital Infantil Pequeno Anjo - HIPA,"Rua João Bauer, 85 - Centro, Itajaí",-26.9083214,-48.662487
pronto socorro do coracao,"R. Aderbal Ramos da Silva, 220 - Centro, Itajaí",-26.9097129,-48.6591777
UNACON Unidade de Alta Complexidade Oncológica HMKB,"R. Aderbal Ramos da Silva, 81 - Centro, Itajaí",-26.9096163,-48.6589495
Hospital Marieta,"Centro, Itajaí",-26.9115321,-48.6598328
Santa Catarina Clínica Médica,"R. Hercílio Luz, 338 - sala 27 - Centro, Itajaí",-26.905554,-48.6579613
Hospital Universitário Pequeno Anjo - HUPA -Nutrição e Dietética,"R. Brusque, 85 - Centro, Itajaí",-26.9083044,-48.6624834
Hospital e Maternidade Marieta Konder Bornhausen :Serviço de Cirurgia Vascular e Angiologia,"Av. Cel. Marcos Konder, 1111 - Centro, Itajaí",-26.9105185,-48.6597062
Hamburgueria 1509,"R. João Cunha, 535 - Fazenda, Itajaí",-26.9315812,-48.6519132
Massa Pan Cafeteria Delivery,"R. Lúcio Corrêa de Mendonça, 180 - Fazenda, Itajaí",-26.9250932,-48.65255140000001
