Nome,Endereço,Latitude,Longitude,Categoria
Supermercados Carol - Loja 11,"R. Amazonas, 4290 - Garcia, Blumenau",-26.9548059,-49.0682131,supermarket
Mini Mercado Decomar,"R. Guilherme Sestrem, 260 - Progresso, Blumenau",-26.9708038,-49.0715689,supermarket
Mercearia do Mano,"R. Belo Horizonte, 464 - Glória, Blumenau",-26.9674644,-49.0644924,supermarket
Cooper Clique e Retire Garcia,"Cooper Garcia - Estacionamento 2 - R. Sd. Moacir Pinheiro, 244 - Garcia, Blumenau",-26.9447658,-49.0744269,supermarket
Mercado Krueger,"R. da Glória, 2496 - Glória, Blumenau",-26.9716852,-49.0512521,supermarket
Padaria Pastel e Mercado Klock,"R. Espírito Santo, 72 - sala 01 - Valparaíso, Blumenau",-26.9533748,-49.0730867,supermarket
RBS STORE,"R. Marabá - Progresso, Blumenau",-26.9604664,-49.0724349,store
Padreco Store,"R. Progresso, 2068 - Progresso, Blumenau",-26.9704465,-49.0751933,store
Mackbull store,"R. Amazonas, 1851 - Garcia, Blumenau",-26.9371665,-49.0646452,store
HR Store,"R. Amazonas, 3810 - Garcia, Blumenau",-26.9517493,-49.0713687,store
BELLA JANELA STORE,"R. Amazonas, 1852 - Garcia, Blumenau",-26.9368833,-49.0649214,store
Cheguei Store,"Progresso, Blumenau",-26.9350788,-49.0620525,store
Qe. Store,"R. Campos Novos, 300 - Garcia, Blumenau",-26.9460052,-49.0754162,store
Ameliê Store,"R. Amazonas, 2030 - Garcia, Blumenau",-26.9379616,-49.0662245,store
Rookgaard Store,"R. Belo Horizonte - Glória, Blumenau",-26.9704115,-49.0628787,store
Vikings Beer,"R. Amazonas, 2325 - Garcia, Blumenau",-26.9396797,-49.0683297,store
Colchões Ortobom,"R. Amazonas, 3000 - Loja 05 - Garcia, Blumenau",-26.9447124,-49.0717941,store
MG STORE MULTIMARCAS,"R. Amazonas, 2281 - Garcia, Blumenau",-26.939646,-49.0679559,store
Pet Shop Sete Bichos Depósito,"R. Sd. Moacir Pinheiro, 55 - Garcia, Blumenau",-26.9451294,-49.0727342,store
Adry Weiss Store,"R. Amazonas, 3385 - Garcia, Blumenau",-26.9481833,-49.0720289,store
