Nome,Endereço,Latitude,Longitude
Sinopão Restaurante e Pizzaria,"Av. Gov. Júlio Campos 1302, Sinop, MT, 78550-286",-11.854628562927246,-55.50852584838867
Sushiya Restaurante,"Av. das Embaubas 356 (Setor Comercial), Sinop, MT, 78550-236",-11.85964298248291,-55.499088287353516
Farmácia Super Popular Sinop,"Av. das Palmeiras 1987, Sinop, MT, 78550-168",-11.845888137817383,-55.51077651977539
Auto Escola Nacional - St Comercial,"Av. das Figueiras 1502, Sinop, MT, 78550-190",-11.852388381958008,-55.507442474365234
Dra Claudia Queiroz Barbosa - Ginecologista e Obstetra,"Av. dos Jacarandás, 2900 - St. Industrial, Sinop - Mt, 78557-094, Brasil, Sinop, MT, 78557-094",-11.861414909362793,-55.4987678527832
Mocelini Odontologia. Todos Os Direitos Reservados.,"Av. das Itaúbas 3230, Sinop, MT, 78550-196",-11.856439590454102,-55.51049041748047
Vereda Bike Park Hotel,"Rua Pe. Machado 313, São João del Rei, MG, 36301-028",-21.12642478942871,-44.25514602661133
Clinica de Olhos Santa Luzia,"Av. Julio Campos 607, Sinop, MT, 78550-000",-11.856429100036621,-55.502376556396484
Hotel Dutra,"Av. Gov. Julio Campos 1204, Sinop, MT, 78550-286",-11.854813575744629,-55.50762939453125
Pak Suítes Hotel,"Rua Enedino Alves da Paixao, 3454 Qd. 4 - Lotes 4 - Bairro: Santa Cruz, Luís Eduardo Magalhães, BA, 47850-000",-12.092288970947266,-45.799476623535156
Farmácia Madeira,"Avenida das Sibipirunas 3316, Sinop, Mato Grosso, 78550",-11.856095314025879,-55.50175857543945
Farmácia Desconto Fácil,"Rua das Primaveras 5582 (Jardim Primavera), Sinop, MT",-11.838462829589844,-55.495826721191406
Dr. Alex Curi - Coloproctologia - Centro de Especialidades Santo Antonio,"Av. dos Flamboyants 2127, Sinop, MT, 78550-144",-11.867276191711426,-55.522003173828125
Ferraz Clínica Integrada,"Av. Valter Pereira Leite 107, Sinop, MT, 78898-000",-11.858660697937012,-55.54365921020508
Odontologia Sorridente,"Av. das Embaúbas 708, Sinop, MT, 78550-000",-11.858777046203613,-55.50221633911133
Machado Supermercados,"Rua Alberto Baranjak 505, Sinop, MT, 78557-484",-11.892236709594727,-55.50407028198242
Restaurante Sabores de Casa,"Rua das Pitangueiras 333, Sinop, MT, 78550-258",-11.855971336364746,-55.50072479248047
Ibis Sinop,"Av. dos Jacarandás 4120 (Setor Industrial Norte), Sinop, MT, 78550-510",-11.852073669433594,-55.49630355834961
Supermercado Machado Tarumãs,"Av. dos Tarumas 812, Sinop, MT, 78550-000",-11.864726066589355,-55.50444030761719
Supermercado Machado - St Comercial,"Rua Primaveras 3300 (Centro), Sinop-Mato Grosso, MT, 78550-001",-11.841620445251465,-55.49671173095703
Woodstock Bar \u0026 Burguer,"Rua das Castanheiras 793, Sinop, MT, 78550-272",-11.854004859924316,-55.50492477416992
Hospital Dois Pinheiros,"Av. dos Tarumas 995, Sinop, MT, 78550-000",-11.864399909973145,-55.505714416503906
Ecomapp Hotel,"1971 Avenida Itaguassu Ecomapp Hotel, Aparecida, SP, 12570-000",-22.858291625976562,-45.24879837036133
Posto América Júlio Campos,"1338 (Avenida Governador Júlio Campos), Sinop, MT, 78550-286",-11.854534149169922,-55.50890350341797
Reservado Bar,"Rua das Tamareiras 358, Sinop, MT, 78556-064",-11.865803718566895,-55.503604888916016
