Nome,Endereço,Latitude,Longitude
Monthez Hotel \u0026 Eventos,"Rod. Antonio Heil 370, km. 29 (Centro 1), Brusque, SC, 88353-100",-27.097822189331055,-48.90366744995117
Hotel Gracher Brusque,"Av. Cônsul Carlos Renaux 56, Brusque, SC, 88350-002",-27.097259521484375,-48.915687561035156
Farmácia Popular,"Rua Sete de Setembro 585, sl. 2, Brusque, SC, 88352-001",-27.08234977722168,-48.90005874633789
Escola Estadual Urbana Pe Lux,"Rua Egon Appel 30, Brusque, SC, 88354-180",-27.1170654296875,-48.91884994506836
Pharmaluz Farmácia,"Rua Barão do Rio Branco 218, Brusque, SC, 88350-200",-27.094118118286133,-48.91044998168945
Ambavia,"Rua Bulcão Viana, Brusque, SC, 88354-070",-27.107484817504883,-48.92178726196289
Verrückt Saison,"Av. Beira Rio 22 (Santa Rita), Brusque, SC, 88355-200",-27.069164276123047,-48.88380432128906
Ibis Blumenau,"Rua Paul Hering 67 (Centro), Blumenau, SC, 89010-050",-26.92083168029785,-49.06496810913086
Pasqualloto Ribeiro Clínica Médica,"Rua Azambuja 1089, Brusque, SC, 88353-460",-27.12188720703125,-48.921119689941406
Restaurante Vô João,"Rua Pedro Werner 129 (Anexo Ao Clube Paysandú, Bairro Jardim Maluche), Brusque, SC, 88354-000",-27.10350799560547,-48.918792724609375
Bar e Mercearia Pavesi,"Rua Henrique Deichmann 58 (Guarani), Brusque, SC, 88350-485",-27.098251342773438,-48.93427276611328
Hotel Estação 101 - Brusque,"Rua Manfredo Hoffmann 5, Brusque, SC, 88353-150",-27.10034942626953,-48.90951156616211
Monthez Hotel \u0026 Eventos,"Rod. Antonio Heil -, km. 29, Brusque, SC, 88350-000",-27.089948654174805,-48.899288177490234
"Esquenta Deck Bar, Brusque","Rod. Antonio Heil 450, sl. 9 (Centro) 10, Brusque, SC, 88352",-27.098669052124023,-48.90574645996094
Restaurante La Sapore,"Rua Pedro Werner 18 (Centro), Brusque, SC, 88354-000",-27.102447509765625,-48.91670227050781
Top Team Clínicas Odontológicas,"Rua Santos Dumont 470 (Santa Terezinha) 1, Brusque, SC",-27.078401565551758,-48.89351272583008
Posto Rr - Centro II,"Av. Lauro Muller, 149 - Centro 1, Brusque - Sc, 88353-040, Brasil, Brusque, SC, 88353-040",-27.102785110473633,-48.9160041809082
Supermercados Archer Loja 01,"Av. Getúlio Vargas 385, Brusque, SC, 88353-000",-27.105194091796875,-48.91924285888672
Laboratório de Análises Clínicas Willrich,"Rua Adriano Schaefer 138, Brusque, SC, 88350-330",-27.099300384521484,-48.91471862792969
Posto Petrobras,"Av. Otto Renaux Esq.R.Joao Bauer 24 C e N (ro), Brusque, SC, 88350-210",-27.0941162109375,-48.912628173828125
Escola Plano Original,"Rua Des. Érico Torres 19 (São Luiz), Brusque, SC, 88351-240",-27.087692260742188,-48.91291809082031
Farmais,"Av. Otto Renaux 387, Brusque, SC, 88351-301",-27.08776092529297,-48.91240310668945
Archer Supermercado,"Rua Germano Schaefer 41, Brusque, SC, 88350-170",-27.09824562072754,-48.91331481933594
Clinisom,"Rua Adriano Schaefer 57, sl. 102, Brusque, SC, 88350-330",-27.099227905273438,-48.9162483215332
Unidade de Saude Central,"Pça. das Bandeiras 77, Brusque, SC, 88350-051",-27.122055053710938,-48.93791580200195
Tsuru\u0027s Sushi,"Rua Franca 8 (Boqueirao), Brusque, SC, 88352-030",-27.08963966369629,-48.908382415771484
Johnny Pub,"Rua Gregório Diegoli 50, Brusque, SC, 88351-350",-27.084346771240234,-48.910926818847656
Unimed Brusque - Unidade São João Batista,"Rua Leoberto Leal 150 (Centro), São João Batista, SC",-27.27688980102539,-48.85029220581055
"Dr. Roberto Haendchen Bento, Médico Clínico Geral","R. Guilherme Wegner, 935 - São Luiz, Brusque - Sc, 88351-495, Brazil, Brusque, SC, 88350-020",-27.07784080505371,-48.91474533081055
Clínica Dentária Master,"Av. Consul Carlos Renaux 40, 1° andar, Brusque, SC, 88350-002",-27.09860610961914,-48.91665267944336
Supermercado Archer,"Rua Anfiloquio Nunes Pires 477, Gaspar, SC, 89300-000",-26.926664352416992,-48.96582794189453
Bistek Supermercados,"Avenida Otto Renaux 377, Brusque, SC, 88351-300",-27.088022232055664,-48.91215133666992
Auto Posto Rr,"Rua Anita Garibaldi 67, Brusque, SC, 88351-410",-27.083419799804688,-48.91402816772461
Supermercado Dellagnolo,"Rua João Peters 280 (Bairro Dom Joaquim), Brusque Sc, SC, 88359-500",-27.139284133911133,-48.95988082885742
Clínica Odontológica,"Tv. Guilherme Krieger 31, Brusque, SC, 88350-010",-27.098241806030273,-48.9151611328125
Associacao Hospital e Maternidade Dom Joaquim,"Rua Botuvera 202, Brusque, SC, 88359-001",-27.098430633544922,-48.91781234741211
Clínica Top Team,"R Santos Dumont 470, Brusque, Santa Catarina, 88352-200",-27.07840347290039,-48.89347839355469
Brusmed Clínica Médica,"Rua Tiradentes 56, Brusque, SC, 88354-110",-27.10567283630371,-48.91682052612305
Colégio Estadual Feliciano Pires,"Rua Rodrigues Alves 250, Brusque, SC, 88350-160",-27.09584617614746,-48.91333770751953
Restaurante Gruta,"Av. Cônsul Carlos Renaux 169, sl. 101, Brusque, SC, 88350-000",-27.095848083496094,-48.91508102416992
Supermercados Archer,"Rua Santos Dumont 1004, Brusque, SC, 88352-200",-27.07561683654785,-48.88896560668945
Clinica de Radiologia Azambuja,"Rua Azambuja 1089, Brusque, SC, 88353-902",-27.121904373168945,-48.9211311340332
New Bar,"Rua Sete de Setembro 98 (Centro), Brusque, SC, 88352-000",-27.089052200317383,-48.90632247924805
Loja S Select - Posto S - Posto Agricopel,"Av. Lauro Muller 149, Brusque, SC, 88353-040",-27.10329818725586,-48.91559600830078
Tri Hotel São João Batista,"6545 Sc-410 - Próximo a Nova Trento (7,4 Km), São João Batista, SC, 88240-000",-27.26702308654785,-48.855438232421875
Posto Ipiranga,"Rod. Antônio Heil 3250, km. 27 (Centro II em Centro II), Brusque, SC, 88352-500",-27.07996940612793,-48.89167785644531
Hotel do Santuário,"Rua Ribeirão Bela Vista 1, Nova Trento, SC, 88270-000",-27.24595832824707,-48.9439697265625
